date,city,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
2020/1/13,Boston,9.2,0.01,0,41,43,36
2020/1/13,Chicago,8.3,0,0.2,31,33,31
2020/1/13,Honolulu,13.4,0,,76,81,75
2020/1/13,Houston,6.3,0.11,0,54,64,50
2020/1/13,LA,5.6,0,,56,62,50
2020/1/13,Miami,13.9,0,,78,83,73
2020/1/13,NYC,8.9,0,0,43,45,37
2020/1/13,Phoenix,4.5,0,,53,69,41
2020/1/13,SF,6.9,0.05,,51,56,45
2020/1/13,Seattle,9.6,0.09,0.2,35,37,30
2020/1/14,Atlanta,4.7,0.66,0,63,65,60
2020/1/14,Boston,5.6,0,0,39,42,37
2020/1/14,Chicago,8.5,0,0,35,39,25
2020/1/14,Honolulu,15.2,0,,77,81,73
2020/1/14,Houston,4.5,0.24,0,69,79,64
2020/1/14,LA,5.1,0,,55,62,48
2020/1/14,Miami,12.1,0.02,,78,82,72
2020/1/14,NYC,6.7,0.07,0,41,44,39
2020/1/14,Phoenix,4.3,0,,55,70,42
2020/1/14,SF,9.6,0.01,,52,56,44
2020/1/14,Seattle,10.5,0.01,0.5,30,36,28
2020/1/15,Atlanta,4.5,0,0,62,72,56
2020/1/15,Boston,8.5,0,0,44,52,39
2020/1/15,Chicago,8.1,0,0,32,36,25
2020/1/15,Honolulu,11.6,0,,76,82,73
2020/1/15,Houston,6.9,0,0,73,81,69
2020/1/15,LA,5.1,0,,55,64,47
2020/1/15,Miami,7.8,0,,75,82,69
2020/1/15,NYC,8.5,0,0,44,50,42
2020/1/15,Phoenix,2.9,0,,57,69,47
2020/1/15,SF,5.1,0,,47,54,39
2020/1/15,Seattle,15.7,0.01,0,35,46,32
2020/1/16,Atlanta,13.4,0.61,0,62,65,50
2020/1/16,Boston,15.2,0.1,0,42,47,30
2020/1/16,Chicago,11.6,0,0,25,29,11
2020/1/16,Honolulu,3.6,0.13,,75,82,70
2020/1/16,Houston,8.7,0.01,0,72,77,64
2020/1/16,LA,5.8,0.26,,56,61,49
2020/1/16,Miami,4.9,0,,74,82,65
2020/1/16,NYC,21,0.12,0,45,50,34
2020/1/16,Phoenix,6,0,,58,66,51
2020/1/16,SF,11.2,0.72,,50,54,44
2020/1/16,Seattle,10.1,0,0,41,45,35
2020/1/17,Atlanta,10.7,0,0,51,56,45
2020/1/17,Boston,20.1,0,0,25,30,16
2020/1/17,Chicago,10.5,0.37,3.1,19,29,11
2020/1/17,Honolulu,11.4,0,,74,80,69
2020/1/17,Houston,12.3,0.01,0,65,72,60
2020/1/17,LA,4.9,0.07,,55,62,50
2020/1/17,Miami,11.2,0.12,,74,81,68
2020/1/17,NYC,19.2,0,0,29,34,21
2020/1/17,Phoenix,4.9,0,,55,65,45
2020/1/17,SF,4.3,0,,47,55,38
2020/1/17,Seattle,6.9,0.02,0,37,42,32
2020/1/18,Atlanta,7.8,0.54,0,46,54,43
2020/1/18,Boston,8.7,0.28,3,18,33,14
2020/1/18,Chicago,15.9,0.4,0,29,35,5
2020/1/18,Honolulu,10.5,0,,74,80,70
2020/1/18,Houston,6.7,0.01,0,69,74,55
2020/1/18,LA,6.3,0,,58,71,48
2020/1/18,Miami,16.6,0,,75,79,71
2020/1/18,NYC,8.7,0.18,1.9,24,37,20
2020/1/18,Phoenix,3.4,0,,55,70,42
2020/1/18,SF,7.4,0,,49,56,44
2020/1/18,Seattle,9.8,0.34,0,42,51,39
2020/1/19,Atlanta,15.7,0.01,0,48,56,32
2020/1/19,Boston,13.4,0.02,0,33,45,24
2020/1/19,Chicago,13,0,0,9,19,2
2020/1/19,Honolulu,11.4,0,,74,82,70
2020/1/19,Houston,13.4,0,0,55,63,44
2020/1/19,LA,5.8,0,,62,77,52
2020/1/19,Miami,6.9,0,,74,81,66
2020/1/19,NYC,16.8,0,0,39,43,28
2020/1/19,Phoenix,4.3,0,,59,76,44
2020/1/19,SF,5.8,0,,50,55,44
2020/1/19,Seattle,9.2,0.03,0,48,54,44
2020/1/20,Atlanta,12.3,0,0,32,38,25
2020/1/20,Boston,13.9,0,0,26,30,19
2020/1/20,Chicago,6.7,0,0,21,31,17
2020/1/20,Honolulu,8.7,0.01,,76,81,70
2020/1/20,Houston,7.8,0,0,50,62,38
2020/1/20,LA,5.4,0.02,,61,62,55
2020/1/20,Miami,6.5,0,,73,76,60
2020/1/20,NYC,17.2,0,0,27,32,21
2020/1/20,Phoenix,7.8,0,,65,74,55
2020/1/20,SF,4.9,0,,50,56,47
2020/1/20,Seattle,5.4,0,0,50,53,44
2020/1/21,Atlanta,9.8,0,0,30,41,23
2020/1/21,Boston,7.6,0,0,23,28,18
2020/1/21,Chicago,7.6,0,0,21,29,15
2020/1/21,Honolulu,4.5,0,,74,82,65
2020/1/21,Houston,6.5,0,0,48,61,35
2020/1/21,LA,8.3,0.03,,60,62,56
2020/1/21,Miami,11.6,0,,62,67,48
2020/1/21,NYC,9.2,0,0,26,33,21
2020/1/21,Phoenix,3.8,0.19,,60,64,53
2020/1/21,SF,8.9,0.01,,54,58,50
2020/1/21,Seattle,13.9,0.52,0,49,53,45
2020/1/22,Atlanta,8.5,0,0,35,50,24
2020/1/22,Boston,4.9,0,0,29,39,20
2020/1/22,Chicago,12.3,0,0,27,34,24
2020/1/22,Honolulu,5.6,0,,73,80,65
2020/1/22,Houston,13.2,1.3,0,50,60,43
2020/1/22,LA,4.3,0,,57,64,51
2020/1/22,Miami,11,0,,51,63,40
2020/1/22,NYC,3.4,0,0,31,39,26
2020/1/22,Phoenix,2,0,,55,64,51
2020/1/22,SF,4.5,0,,54,57,50
2020/1/22,Seattle,9.6,0.22,0,45,50,44
2020/1/23,Atlanta,11.9,0.21,0,42,48,38
2020/1/23,Boston,7.4,0,0,36,50,26
2020/1/23,Chicago,7.6,0.17,0.9,32,34,29
2020/1/23,Honolulu,4.3,0,,72,80,64
2020/1/23,Houston,7.8,0.1,0,59,61,46
2020/1/23,LA,5.1,0,,59,69,51
2020/1/23,Miami,6.3,0.31,,63,76,57
2020/1/23,NYC,4.3,0,0,38,46,30
2020/1/23,Phoenix,3.1,0,,56,71,47
2020/1/23,SF,2.2,0,,53,58,47
2020/1/23,Seattle,11.2,0.99,0,51,55,49
2020/1/24,Atlanta,7.4,0.66,0,46,59,41
2020/1/24,Boston,6.9,0,0,41,48,34
2020/1/24,Chicago,4.7,0.4,0,35,37,32
2020/1/24,Honolulu,5.6,0,,73,81,65
2020/1/24,Houston,2.9,0,0,52,67,40
2020/1/24,LA,4.5,0,,61,72,51
2020/1/24,Miami,4.5,0,,71,80,63
2020/1/24,NYC,7.2,0,0,41,46,33
2020/1/24,Phoenix,3.4,0,,60,73,48
2020/1/24,SF,6.9,0,,54,63,47
2020/1/24,Seattle,10.1,0.47,0,51,52,48
2020/1/25,Atlanta,10.7,0,0,42,46,37
2020/1/25,Boston,14.1,0.7,0,42,50,40
2020/1/25,Chicago,8.3,0.12,0.4,33,34,32
2020/1/25,Honolulu,6,0,,75,84,68
2020/1/25,Houston,8.7,0,0,52,66,41
2020/1/25,LA,5.1,0,,58,65,50
2020/1/25,Miami,3.8,0,,72,79,65
2020/1/25,NYC,15,0.78,0,41,52,38
2020/1/25,Phoenix,3.8,0,,59,73,48
2020/1/25,SF,4.9,0,,56,62,48
2020/1/25,Seattle,4.9,0.16,0,48,52,46
2020/1/26,Atlanta,6,0,0,40,51,33
2020/1/26,Boston,12.5,0,0,47,51,40
2020/1/26,Chicago,9.4,0,0,32,33,27
2020/1/26,Honolulu,8.7,0,,76,85,69
2020/1/26,Houston,5.1,0.13,0,63,75,53
2020/1/26,LA,4.7,0,,58,62,56
2020/1/26,Miami,5.6,0,,66,76,54
2020/1/26,NYC,12.5,0,0,43,46,39
2020/1/26,Phoenix,3.6,0,,59,73,49
2020/1/26,SF,12.5,0.14,,58,61,52
2020/1/26,Seattle,11.9,0.35,0,49,54,47
2020/1/27,Atlanta,6.7,0,0,48,53,42
2020/1/27,Boston,12.3,0,0,42,48,39
2020/1/27,Chicago,5.8,0,0,30,35,27
2020/1/27,Honolulu,6,0,,75,83,66
2020/1/27,Houston,7.2,0,0,57,62,50
2020/1/27,LA,6.9,0,,58,70,50
2020/1/27,Miami,4.3,0,,68,77,61
2020/1/27,NYC,13.6,0,0,40,45,38
2020/1/27,Phoenix,6.9,0,,62,74,51
2020/1/27,SF,5.6,0,,54,61,47
2020/1/27,Seattle,9.6,0.61,0,48,51,43
2020/1/28,Atlanta,6.9,0,0,46,59,37
2020/1/28,Boston,13,0,0,41,42,36
2020/1/28,Chicago,5.8,0,0,32,33,31
2020/1/28,Honolulu,5.4,0,,73,84,64
2020/1/28,Houston,9.4,0.51,0,57,63,50
2020/1/28,LA,6.9,0,,64,72,54
2020/1/28,Miami,4,0,,71,80,64
2020/1/28,NYC,16.1,0,0,40,42,37
2020/1/28,Phoenix,4,0,,60,72,46
2020/1/28,SF,7.6,0.03,,55,62,50
2020/1/28,Seattle,7.8,0.67,0,47,53,46
2020/1/29,Atlanta,5.8,0,0,48,52,42
2020/1/29,Boston,10.5,0,0,37,43,29
2020/1/29,Chicago,4.7,0,0,32,34,30
2020/1/29,Honolulu,5.8,0,,76,83,68
2020/1/29,Houston,11.9,0,0,51,55,47
2020/1/29,LA,11.4,0,,67,78,62
2020/1/29,Miami,5.4,0,,71,82,60
2020/1/29,NYC,12.1,0,0,36,40,31
2020/1/29,Phoenix,5.1,0,,57,67,47
2020/1/29,SF,10.1,0,,53,61,47
2020/1/29,Seattle,6.7,0.37,0,48,51,45
2020/1/30,Atlanta,8.1,0,0,48,59,40
2020/1/30,Boston,7.6,0,0,29,33,22
2020/1/30,Chicago,3.6,0,0,33,35,32
2020/1/30,Honolulu,6.3,0,,75,83,68
2020/1/30,Houston,7.6,0,0,51,56,49
2020/1/30,LA,5.6,0,,66,73,52
2020/1/30,Miami,6,1.08,,72,77,68
2020/1/30,NYC,8.1,0,0,31,35,25
2020/1/30,Phoenix,5.8,0,,58,70,45
2020/1/30,SF,8.5,0,,55,63,52
2020/1/30,Seattle,7.4,0.41,0,46,51,42
2020/1/31,Atlanta,10.5,0.08,0,44,45,40
2020/1/31,Boston,8.9,0,0,35,47,29
2020/1/31,Chicago,5.4,0.08,0.6,34,37,32
2020/1/31,Honolulu,7.8,0,,76,84,69
2020/1/31,Houston,5.6,0,0,53,61,43
2020/1/31,LA,4.5,0,,63,81,51
2020/1/31,Miami,6,0.42,,71,80,62
2020/1/31,NYC,6.5,0.01,0,36,42,33
2020/1/31,Phoenix,3.8,0,,58,73,44
2020/1/31,SF,2.5,0,,53,66,48
2020/1/31,Seattle,16.8,0.78,0,51,59,51
2020/2/1,Atlanta,7.8,0,0,43,52,40
2020/2/1,Boston,4.5,0.02,0,38,41,34
2020/2/1,Chicago,11.4,0.01,0,36,38,34
2020/2/1,Honolulu,8.5,0,,77,83,70
2020/2/1,Houston,5.1,0,0,52,69,41
2020/2/1,LA,4.7,0,,67,81,57
2020/2/1,Miami,6.5,1.23,,71,77,64
2020/2/1,NYC,4.7,0.01,0,39,42,37
2020/2/1,Phoenix,3.4,0,,60,78,46
2020/2/1,SF,8.5,0,,55,65,47
2020/2/1,Seattle,15.2,1.18,0,53,55,37
2020/2/2,Atlanta,8.7,0,0,48,66,35
2020/2/2,Boston,6.9,0,0,39,44,36
2020/2/2,Chicago,14.3,0,0,41,52,35
2020/2/2,Honolulu,9.4,0,,72,83,66
2020/2/2,Houston,7.2,0,0,58,76,47
2020/2/2,LA,6.7,0,,62,67,53
2020/2/2,Miami,7.6,0,,63,68,55
2020/2/2,NYC,8.7,0.06,0,39,43,35
2020/2/2,Phoenix,4.9,0,,64,79,49
2020/2/2,SF,21.9,0,,54,56,44
2020/2/2,Seattle,6.7,0,0,39,44,32
2020/2/3,Atlanta,7.8,0,0,57,76,42
2020/2/3,Boston,9.6,0,0,41,50,35
2020/2/3,Chicago,9.6,0,0,39,48,30
2020/2/3,Honolulu,9.2,0,,76,84,70
2020/2/3,Houston,10.7,0,0,65,76,57
2020/2/3,LA,15.2,0,,57,63,50
2020/2/3,Miami,3.6,0,,62,75,49
2020/2/3,NYC,8.7,0,0,44,56,37
2020/2/3,Phoenix,11.2,0,,62,65,45
2020/2/3,SF,11.6,0,,47,56,38
2020/2/3,Seattle,3.8,0.11,0,38,43,35
2020/2/4,Atlanta,9.4,0,0,62,69,57
2020/2/4,Boston,3.1,0,0,42,47,35
2020/2/4,Chicago,21.7,0,0,36,39,31
2020/2/4,Honolulu,5.1,0,,75,82,67
2020/2/4,Houston,8.5,0,0,72,80,59
2020/2/4,LA,7.8,0,,53,60,44
2020/2/4,Miami,5.4,0,,69,79,59
2020/2/4,NYC,5.4,0.01,0,46,58,39
2020/2/4,Phoenix,6.7,0,,47,55,35
2020/2/4,SF,11,0,,51,56,44
2020/2/4,Seattle,7.8,0.11,0,35,41,32
2020/2/5,Atlanta,11.4,0.56,0,64,67,61
2020/2/5,Boston,6.3,0.05,0,41,43,33
2020/2/5,Chicago,12.8,0.07,1,30,33,27
2020/2/5,Honolulu,4.9,0.37,,74,79,68
2020/2/5,Houston,13.4,0.02,0,55,59,41
2020/2/5,LA,4.9,0,,53,62,44
2020/2/5,Miami,8.1,0,,73,81,64
2020/2/5,NYC,10.3,0,0,44,53,38
2020/2/5,Phoenix,6,0,,45,55,35
2020/2/5,SF,5.6,0,,48,62,39
2020/2/5,Seattle,11.4,0.52,0,43,50,41
2020/2/6,Atlanta,11.2,2.3,0,64,72,50
2020/2/6,Boston,12.3,0.44,0.3,37,41,34
2020/2/6,Chicago,13,0.05,1.4,29,30,27
2020/2/6,Honolulu,10.1,0,,72,74,69
2020/2/6,Houston,11.2,0.07,0,43,52,36
2020/2/6,LA,6,0,,55,64,45
2020/2/6,Miami,13.9,0,,77,84,75
2020/2/6,NYC,11.2,0.56,0,38,41,35
2020/2/6,Phoenix,5.8,0,,46,61,36
2020/2/6,SF,4.7,0,,51,65,44
2020/2/6,Seattle,6,0.83,0,49,51,46
2020/2/7,Atlanta,13.2,0,0,44,50,34
2020/2/7,Boston,15,0.32,0,40,56,30
2020/2/7,Chicago,7.8,0,0.2,30,38,24
2020/2/7,Honolulu,9.4,0.01,,70,77,62
2020/2/7,Houston,6,0,0,49,72,33
2020/2/7,LA,5.1,0,,56,64,48
2020/2/7,Miami,7.8,0.38,,73,78,64
2020/2/7,NYC,18.1,0.29,0,40,58,33
2020/2/7,Phoenix,4.7,0,,52,67,41
2020/2/7,SF,8.5,0,,52,64,44
